arquitecture;percent_utilization;computes;cycles;cycle_seconds;latency;area;energy;computes_per_second;computes_per_second_per_square_meter;computes_per_joule;acesses;per_component_energy;per_component_area;variables
8_neurons_4_macs_16_width;87.5;4480;160;1e-09;1.6e-07;7.67322484e-06;7.5503232e-08;28000000000.0;3649052462797375.5;59335208325.91643;;{'MACC': 1.4672e-08, 'Input_Port': 1.21856e-11, 'GlobalBuffer': 6.08190464e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.61792e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 5.5248e-08};Specification[variables].Variables={'version': '0.4'}
8_neurons_8_macs_4_width;54.69;4480;128;1e-09;1.28e-07;3.356940856e-06;3.900288e-09;35000000000.0;1.0426159262664114e+16;1148633126579.3706;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 1.01248e-11, 'GlobalBuffer': 2.8849856000000002e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.34831e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 8.574016e-09};Specification[variables].Variables={'version': '0.4'}
8_neurons_8_macs_6_width;54.69;4480;128;1e-09;1.28e-07;5.4422703279999995e-06;7.1208256e-09;35000000000.0;6431139559519507.0;629140531120.4363;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 1.01248e-11, 'GlobalBuffer': 4.937184e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 5.42459e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 1.7623488000000002e-08};Specification[variables].Variables={'version': '0.4'}
8_neurons_8_macs_16_width;54.69;4480;128;1e-09;1.28e-07;1.869475284e-05;3.9365536e-08;35000000000.0;1872183082576661.8;113805131473.37813;;{'MACC': 1.4672e-08, 'Input_Port': 1.01248e-11, 'GlobalBuffer': 2.46834112e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.85842e-05, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 1.10496e-07};Specification[variables].Variables={'version': '0.4'}
16_neurons_2_macs_4_width;21.88;4480;640;1e-09;6.4e-07;1.519189688e-06;4.1245568e-09;7000000000.0;4607719533177874.0;1086177307583.69;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 9.79776e-11, 'GlobalBuffer': 3.0214015999999996e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.51479e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 4.287008e-09};Specification[variables].Variables={'version': '0.4'}
16_neurons_2_macs_6_width;21.88;4480;640;1e-09;6.4e-07;2.3969044240000002e-06;7.516768e-09;7000000000.0;2920433509951250.0;596000834401.1682;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 9.79776e-11, 'GlobalBuffer': 5.2452735999999995e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 2.38798e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 8.811744000000001e-09};Specification[variables].Variables={'version': '0.4'}
16_neurons_2_macs_16_width;21.88;4480;640;1e-09;6.4e-07;7.67328068e-06;3.49125952e-08;7000000000.0;912256476977980.1;128320452098.61684;;{'MACC': 1.4672e-08, 'Input_Port': 9.79776e-11, 'GlobalBuffer': 2.0142617599999998e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.61792e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 5.5248e-08};Specification[variables].Variables={'version': '0.4'}
16_neurons_4_macs_4_width;43.75;4480;160;1e-09;1.6e-07;3.356996696e-06;1.2844608000000001e-08;28000000000.0;8340788667848007.0;348784486066.05975;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 1.21856e-11, 'GlobalBuffer': 1.1827244800000001e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.34831e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 8.574016e-09};Specification[variables].Variables={'version': '0.4'}
16_neurons_4_macs_6_width;43.75;4480;160;1e-09;1.6e-07;5.442326168e-06;2.2878016e-08;28000000000.0;5144858859183319.0;195821176101.98367;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 1.21856e-11, 'GlobalBuffer': 2.0692313599999998e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 5.42459e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 1.7623488000000002e-08};Specification[variables].Variables={'version': '0.4'}
16_neurons_4_macs_16_width;43.75;4480;160;1e-09;1.6e-07;1.869480868e-05;1.1969175679999999e-07;28000000000.0;1497741992404278.5;37429478184.415794;;{'MACC': 1.4672e-08, 'Input_Port': 1.21856e-11, 'GlobalBuffer': 1.0500757119999999e-07, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.85842e-05, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 1.10496e-07};Specification[variables].Variables={'version': '0.4'}
16_neurons_8_macs_4_width;27.34;4480;128;1e-09;1.28e-07;7.635180712e-06;5.664735999999999e-09;35000000000.0;4584043432657917.0;790857685159.5557;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 1.01248e-11, 'GlobalBuffer': 4.649433599999999e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.61792e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 1.7148032e-08};Specification[variables].Variables={'version': '0.4'}
16_neurons_8_macs_6_width;27.34;4480;128;1e-09;1.28e-07;1.2646659656e-05;1.06611008e-08;35000000000.0;2767529209453725.0;420219270415.30273;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 1.01248e-11, 'GlobalBuffer': 8.4774592e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.26113e-05, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 3.5246976000000003e-08};Specification[variables].Variables={'version': '0.4'}
16_neurons_8_macs_16_width;27.34;4480;128;1e-09;1.28e-07;4.687020468e-05;5.2100384e-08;35000000000.0;746743058601040.4;85987849916.80676;;{'MACC': 1.4672e-08, 'Input_Port': 1.01248e-11, 'GlobalBuffer': 3.74182592e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 4.66491e-05, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 2.20992e-07};Specification[variables].Variables={'version': '0.4'}
